Last login: Wed Jul 29 20:42:45 on ttys002
/Users/admin/.zprofile:1: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/.zprofile:2: no such file or directory: /opt/homebrew/bin/brew
/Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
admin@MacBook-Air-4 ~ % /Users/admin/Desktop/TouchTablet/build_macOS/.build/arm64-apple-macosx/release/TouchPad ; exit;
2026-07-29 20:59:59.575 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.01, dy=0.0
2026-07-29 20:59:59.575 TouchPad[58918:1806028] [TouchPad] Zoom Executing: Factor=1.01, Lines=-6
2026-07-29 20:59:59.585 TouchPad[58918:1806028] [TouchPad] Gesture: Type=ZOOM, dx=1.0, dy=0.0
2026-07-29 20:59:59.774 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-3.95, dy=16.36
2026-07-29 20:59:59.791 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-5.05, dy=22.65
2026-07-29 20:59:59.807 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-7.62, dy=27.46
2026-07-29 20:59:59.824 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-7.58, dy=32.4
2026-07-29 20:59:59.841 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-12.37, dy=37.85
2026-07-29 20:59:59.857 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-12.73, dy=35.53
2026-07-29 20:59:59.874 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-14.19, dy=35.98
2026-07-29 20:59:59.891 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-12.28, dy=38.59
2026-07-29 20:59:59.907 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-14.19, dy=38.38
2026-07-29 20:59:59.925 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-13.4, dy=36.21
2026-07-29 20:59:59.940 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-13.52, dy=36.47
2026-07-29 20:59:59.957 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-9.86, dy=34.18
2026-07-29 20:59:59.974 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-10.0, dy=33.32
2026-07-29 20:59:59.991 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-8.19, dy=36.83
2026-07-29 21:00:00.010 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-10.46, dy=36.68
2026-07-29 21:00:00.024 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-6.2, dy=34.36
2026-07-29 21:00:00.041 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-9.54, dy=33.08
2026-07-29 21:00:00.057 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-7.25, dy=27.26
2026-07-29 21:00:00.074 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-7.54, dy=26.16
2026-07-29 21:00:00.091 TouchPad[58918:1806028] [TouchPad] Gesture: Type=SCROLL, dx=-7.4, dy=29.07
